time,V(vout),V(vy)
0.00E+00,5.00E-06,0.00E+00
1.00E-17,5.00E-06,1.00E-02
2.00E-17,5.00E-06,2.00E-02
4.00E-17,5.00E-06,4.00E-02
8.00E-17,5.02E-06,8.00E-02
1.60E-16,5.25E-06,1.60E-01
3.20E-16,7.43E-06,3.20E-01
6.40E-16,1.99E-05,6.40E-01
1.00E-15,4.41E-05,1.00E+00
1.06E-15,5.19E-05,1.00E+00
1.19E-15,6.90E-05,1.00E+00
1.45E-15,1.07E-04,1.00E+00
1.96E-15,1.85E-04,1.00E+00
2.98E-15,3.21E-04,1.00E+00
5.03E-15,5.16E-04,1.00E+00
8.86E-15,7.36E-04,1.00E+00
1.51E-14,9.13E-04,1.00E+00
2.30E-14,9.98E-04,1.00E+00
3.88E-14,1.03E-03,1.00E+00
7.03E-14,1.01E-03,1.00E+00
1.33E-13,9.14E-04,1.00E+00
2.60E-13,6.96E-04,1.00E+00
5.12E-13,3.17E-04,1.00E+00
1.02E-12,-1.85E-04,1.00E+00
2.03E-12,-6.46E-04,1.00E+00
4.05E-12,-7.66E-04,1.00E+00
8.08E-12,-1.19E-03,1.00E+00
1.56E-11,3.91E-03,1.00E+00
2.16E-11,6.98E-02,1.00E+00
2.60E-11,2.41E-01,1.00E+00
3.09E-11,5.53E-01,1.00E+00
3.41E-11,7.47E-01,1.00E+00
3.81E-11,8.95E-01,1.00E+00
4.32E-11,9.73E-01,1.00E+00
4.81E-11,9.94E-01,1.00E+00
5.41E-11,9.99E-01,1.00E+00
6.27E-11,1.00E+00,1.00E+00
8.00E-11,1.00E+00,1.00E+00
1.14E-10,1.00E+00,1.00E+00
1.53E-10,1.00E+00,1.00E+00
1.93E-10,1.00E+00,1.00E+00
2.32E-10,1.00E+00,1.00E+00
2.71E-10,1.00E+00,1.00E+00
3.10E-10,1.00E+00,1.00E+00
3.49E-10,1.00E+00,1.00E+00
3.88E-10,1.00E+00,1.00E+00
4.27E-10,1.00E+00,1.00E+00
4.66E-10,1.00E+00,1.00E+00
5.05E-10,1.00E+00,1.00E+00
5.83E-10,1.00E+00,1.00E+00
6.61E-10,1.00E+00,1.00E+00
7.78E-10,1.00E+00,1.00E+00
8.96E-10,1.00E+00,1.00E+00
9.91E-10,1.00E+00,1.00E+00
1.09E-09,1.00E+00,1.00E+00
1.18E-09,1.00E+00,1.00E+00
1.28E-09,1.00E+00,1.00E+00
1.37E-09,1.00E+00,1.00E+00
1.46E-09,1.00E+00,1.00E+00
1.56E-09,1.00E+00,1.00E+00
1.64E-09,1.00E+00,1.00E+00
1.73E-09,1.00E+00,1.00E+00
1.81E-09,1.00E+00,1.00E+00
1.89E-09,1.00E+00,1.00E+00
1.98E-09,1.00E+00,1.00E+00
2.06E-09,1.00E+00,1.00E+00
2.15E-09,1.00E+00,1.00E+00
2.22E-09,1.00E+00,1.00E+00
2.34E-09,1.00E+00,1.00E+00
2.45E-09,1.00E+00,1.00E+00
2.56E-09,1.00E+00,1.00E+00
2.67E-09,1.00E+00,1.00E+00
2.78E-09,1.00E+00,1.00E+00
2.89E-09,1.00E+00,1.00E+00
3.01E-09,1.00E+00,1.00E+00
3.19E-09,1.00E+00,1.00E+00
3.37E-09,1.00E+00,1.00E+00
3.56E-09,1.00E+00,1.00E+00
3.74E-09,1.00E+00,1.00E+00
3.93E-09,1.00E+00,1.00E+00
4.11E-09,1.00E+00,1.00E+00
4.29E-09,1.00E+00,1.00E+00
4.66E-09,1.00E+00,1.00E+00
5.03E-09,1.00E+00,1.00E+00
5.40E-09,1.00E+00,1.00E+00
5.77E-09,1.00E+00,1.00E+00
6.14E-09,1.00E+00,1.00E+00
6.50E-09,1.00E+00,1.00E+00
6.87E-09,1.00E+00,1.00E+00
7.89E-09,1.00E+00,1.00E+00
7.93E-09,1.00E+00,1.00E+00
7.96E-09,1.00E+00,1.00E+00
8.00E-09,1.00E+00,1.00E+00
8.00E-09,1.00E+00,9.00E-01
8.00E-09,1.00E+00,7.00E-01
8.00E-09,1.00E+00,3.00E-01
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,9.99E-01,0.00E+00
8.00E-09,9.99E-01,0.00E+00
8.00E-09,9.99E-01,0.00E+00
8.00E-09,9.99E-01,0.00E+00
8.00E-09,9.99E-01,0.00E+00
8.00E-09,9.99E-01,0.00E+00
8.00E-09,9.99E-01,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.00E-09,1.00E+00,0.00E+00
8.01E-09,1.00E+00,0.00E+00
8.01E-09,1.00E+00,0.00E+00
8.02E-09,1.00E+00,0.00E+00
8.02E-09,9.43E-01,0.00E+00
8.03E-09,7.56E-01,0.00E+00
8.03E-09,4.37E-01,0.00E+00
8.03E-09,2.43E-01,0.00E+00
8.04E-09,1.02E-01,0.00E+00
8.04E-09,3.06E-02,0.00E+00
8.05E-09,1.06E-02,0.00E+00
8.05E-09,4.45E-03,0.00E+00
8.06E-09,1.59E-03,0.00E+00
8.08E-09,2.41E-04,0.00E+00
8.10E-09,-9.13E-06,0.00E+00
8.14E-09,6.67E-06,0.00E+00
8.18E-09,4.23E-06,0.00E+00
8.22E-09,5.45E-06,0.00E+00
8.26E-09,4.88E-06,0.00E+00
8.30E-09,5.13E-06,0.00E+00
8.44E-09,5.11E-06,0.00E+00
8.58E-09,5.11E-06,0.00E+00
8.72E-09,5.12E-06,0.00E+00
8.86E-09,5.14E-06,0.00E+00
9.00E-09,5.17E-06,0.00E+00
9.14E-09,5.21E-06,0.00E+00
9.28E-09,5.25E-06,0.00E+00
9.67E-09,5.31E-06,0.00E+00
