vin	V(vout)
1.000000000000000e+00	9.999997e-01
9.900000000000000e-01	9.899997e-01
9.800000000000000e-01	9.799997e-01
9.700000000000000e-01	9.699997e-01
9.600000000000000e-01	9.599997e-01
9.500000000000000e-01	9.499997e-01
9.399999999999999e-01	9.399998e-01
9.299999999999999e-01	9.299998e-01
9.199999999999999e-01	9.199998e-01
9.099999999999999e-01	9.099998e-01
8.999999999999999e-01	8.999998e-01
8.899999999999999e-01	8.899998e-01
8.799999999999999e-01	8.799998e-01
8.699999999999999e-01	8.699998e-01
8.599999999999999e-01	8.599998e-01
8.499999999999999e-01	8.499998e-01
8.399999999999999e-01	8.399998e-01
8.299999999999998e-01	8.299998e-01
8.199999999999998e-01	8.199998e-01
8.099999999999998e-01	8.099998e-01
7.999999999999998e-01	7.999998e-01
7.899999999999998e-01	7.899998e-01
7.799999999999998e-01	7.799999e-01
7.699999999999998e-01	7.699999e-01
7.599999999999998e-01	7.599999e-01
7.499999999999998e-01	7.499999e-01
7.399999999999998e-01	7.399998e-01
7.299999999999998e-01	7.299998e-01
7.199999999999998e-01	7.199998e-01
7.099999999999997e-01	7.099999e-01
6.999999999999997e-01	6.999999e-01
6.899999999999997e-01	6.899999e-01
6.799999999999997e-01	6.799999e-01
6.699999999999997e-01	6.699998e-01
6.599999999999997e-01	6.599998e-01
6.499999999999997e-01	6.499999e-01
6.399999999999997e-01	6.399999e-01
6.299999999999997e-01	6.299999e-01
6.199999999999997e-01	6.199998e-01
6.099999999999997e-01	6.099998e-01
5.999999999999996e-01	5.999998e-01
5.899999999999996e-01	5.899999e-01
5.799999999999996e-01	5.799998e-01
5.699999999999996e-01	5.699998e-01
5.599999999999996e-01	5.599998e-01
5.499999999999996e-01	5.499998e-01
5.399999999999996e-01	5.399998e-01
5.299999999999996e-01	5.299999e-01
5.199999999999996e-01	5.199999e-01
5.099999999999996e-01	5.099999e-01
4.999999999999996e-01	4.999999e-01
4.899999999999995e-01	4.899999e-01
4.799999999999995e-01	4.799999e-01
4.699999999999995e-01	4.699999e-01
4.599999999999995e-01	4.600000e-01
4.499999999999995e-01	4.500000e-01
4.399999999999995e-01	4.400000e-01
4.299999999999995e-01	4.300000e-01
4.199999999999995e-01	4.200000e-01
4.099999999999995e-01	4.100000e-01
3.999999999999995e-01	4.000000e-01
3.899999999999995e-01	3.900000e-01
3.799999999999994e-01	3.800000e-01
3.699999999999994e-01	3.700000e-01
3.599999999999994e-01	3.600000e-01
3.499999999999994e-01	3.500000e-01
3.399999999999994e-01	3.400000e-01
3.299999999999994e-01	3.300000e-01
3.199999999999994e-01	3.200000e-01
3.099999999999994e-01	3.100000e-01
2.999999999999994e-01	3.000000e-01
2.899999999999994e-01	2.900000e-01
2.799999999999994e-01	2.800000e-01
2.699999999999994e-01	2.700000e-01
2.599999999999993e-01	2.600000e-01
2.499999999999993e-01	2.500000e-01
2.399999999999993e-01	2.400000e-01
2.299999999999993e-01	2.300000e-01
2.199999999999993e-01	2.200000e-01
2.099999999999993e-01	2.100000e-01
1.999999999999993e-01	2.000000e-01
1.899999999999993e-01	1.900000e-01
1.799999999999993e-01	1.800000e-01
1.699999999999993e-01	1.700000e-01
1.599999999999993e-01	1.600000e-01
1.499999999999992e-01	1.500000e-01
1.399999999999992e-01	1.400000e-01
1.299999999999992e-01	1.300000e-01
1.199999999999992e-01	1.200000e-01
1.099999999999992e-01	1.100000e-01
9.999999999999924e-02	1.000000e-01
8.999999999999925e-02	9.000003e-02
7.999999999999925e-02	8.000003e-02
6.999999999999926e-02	7.000002e-02
5.999999999999926e-02	6.000003e-02
4.999999999999925e-02	5.000003e-02
3.999999999999925e-02	4.000003e-02
2.999999999999925e-02	3.000003e-02
1.999999999999925e-02	2.000003e-02
9.999999999999247e-03	1.000003e-02
0.000000000000000e+00	3.493701e-08
