time	V(n001)
0.000000000000000e+00	-1.000000e+00
1.953124965725918e-17	-1.000000e+00
3.906249931451836e-17	-9.999999e-01
7.812499862903672e-17	-9.999999e-01
1.562499972580734e-16	-9.999998e-01
3.124999945161469e-16	-9.999997e-01
6.249999890322938e-16	-9.999994e-01
1.249999978064588e-15	-9.999987e-01
2.499999956129175e-15	-9.999975e-01
4.999999912258350e-15	-9.999950e-01
9.999999824516700e-15	-9.999900e-01
1.999999964903340e-14	-9.999800e-01
3.999999929806680e-14	-9.999600e-01
7.999999859613360e-14	-9.999200e-01
1.599999971922672e-13	-9.998400e-01
3.199999943845344e-13	-9.996800e-01
6.399999887690688e-13	-9.993600e-01
1.279999977538138e-12	-9.987200e-01
2.559999955076275e-12	-9.974400e-01
4.513124955076275e-12	-9.954869e-01
6.466249955076275e-12	-9.935337e-01
8.419374955076274e-12	-9.915806e-01
1.037249995507627e-11	-9.896275e-01
1.232562495507627e-11	-9.876744e-01
1.623187495507627e-11	-9.837681e-01
3.046178566936201e-11	-9.695382e-01
4.469169638364775e-11	-9.553083e-01
5.892160709793349e-11	-9.410784e-01
7.315151781221922e-11	-9.268485e-01
8.738142852650497e-11	-9.126186e-01
1.016113392407907e-10	-8.983886e-01
1.158412499550764e-10	-8.841587e-01
1.286760713836478e-10	-8.713239e-01
1.415108928122191e-10	-8.584891e-01
1.543457142407905e-10	-8.456543e-01
1.671805356693619e-10	-8.328194e-01
1.800153570979333e-10	-8.199846e-01
1.928501785265046e-10	-8.071498e-01
2.056849999550760e-10	-7.943150e-01
2.254952678122188e-10	-7.745047e-01
2.453055356693615e-10	-7.546944e-01
2.651158035265043e-10	-7.348842e-01
2.849260713836471e-10	-7.150739e-01
3.047363392407899e-10	-6.952636e-01
3.245466070979327e-10	-6.754534e-01
3.443568749550754e-10	-6.556431e-01
3.753278570979328e-10	-6.246721e-01
4.062988392407902e-10	-5.937011e-01
4.372698213836476e-10	-5.627302e-01
4.682408035265049e-10	-5.317592e-01
4.992117856693624e-10	-5.007882e-01
5.301827678122196e-10	-4.698172e-01
5.611537499550770e-10	-4.388463e-01
6.004952678122208e-10	-3.995047e-01
6.398367856693645e-10	-3.601632e-01
6.791783035265083e-10	-3.208217e-01
7.185198213836519e-10	-2.814802e-01
7.578613392407957e-10	-2.421387e-01
7.972028570979394e-10	-2.027971e-01
8.365443749550831e-10	-1.634556e-01
8.686314285265114e-10	-1.313686e-01
9.007184820979397e-10	-9.928152e-02
9.328055356693681e-10	-6.719447e-02
9.648925892407964e-10	-3.510741e-02
9.969796428122247e-10	-3.020360e-03
1.029066696383653e-09	2.906670e-02
1.061153749955081e-09	6.115375e-02
1.080684999955081e-09	8.068500e-02
1.100216249955080e-09	1.002163e-01
1.119747499955079e-09	1.197475e-01
1.139278749955079e-09	1.392788e-01
1.158809999955078e-09	1.588100e-01
1.178341249955078e-09	1.783413e-01
1.197872499955077e-09	1.978725e-01
1.206522053526505e-09	2.065221e-01
1.215171607097934e-09	2.151716e-01
1.223821160669362e-09	2.238212e-01
1.232470714240790e-09	2.324707e-01
1.241120267812218e-09	2.411203e-01
1.249769821383647e-09	2.497698e-01
1.258419374955075e-09	2.584194e-01
1.264278749955075e-09	2.642787e-01
1.270138124955075e-09	2.701381e-01
1.275997499955075e-09	2.759975e-01
1.281856874955074e-09	2.818569e-01
1.287716249955074e-09	2.877162e-01
1.293575624955074e-09	2.935756e-01
1.299434999955074e-09	2.994350e-01
1.304178303526502e-09	3.041783e-01
1.308921607097931e-09	3.089216e-01
1.313664910669359e-09	3.136649e-01
1.318408214240788e-09	3.184082e-01
1.323151517812216e-09	3.231515e-01
1.327894821383644e-09	3.278948e-01
1.332638124955073e-09	3.326381e-01
1.338497499955073e-09	3.384975e-01
1.344356874955072e-09	3.443569e-01
1.350216249955072e-09	3.502162e-01
1.356075624955072e-09	3.560756e-01
1.361934999955072e-09	3.619350e-01
1.367794374955072e-09	3.677944e-01
1.373653749955072e-09	3.736537e-01
1.379513124955071e-09	3.795131e-01
1.385372499955071e-09	3.853725e-01
1.391231874955071e-09	3.912319e-01
1.397091249955071e-09	3.970912e-01
1.402950624955071e-09	4.029506e-01
1.408809999955070e-09	4.088100e-01
1.414669374955070e-09	4.146694e-01
1.420528749955070e-09	4.205287e-01
1.426388124955070e-09	4.263881e-01
1.432247499955070e-09	4.322475e-01
1.438106874955070e-09	4.381069e-01
1.443966249955069e-09	4.439662e-01
1.449825624955069e-09	4.498256e-01
1.455684999955069e-09	4.556850e-01
1.460707321383640e-09	4.607073e-01
1.465729642812212e-09	4.657296e-01
1.470751964240783e-09	4.707520e-01
1.475774285669354e-09	4.757743e-01
1.480796607097925e-09	4.807966e-01
1.485818928526497e-09	4.858189e-01
1.490841249955068e-09	4.908412e-01
1.496142589240782e-09	4.961426e-01
1.501443928526496e-09	5.014439e-01
1.506745267812210e-09	5.067453e-01
