vin,Id(M2)
0.00E+00,-2.53E-11
1.00E-02,-2.41E-11
2.00E-02,-2.29E-11
3.00E-02,-2.18E-11
4.00E-02,-2.07E-11
5.00E-02,-1.97E-11
6.00E-02,-1.87E-11
7.00E-02,-1.78E-11
8.00E-02,-1.69E-11
9.00E-02,-1.60E-11
1.00E-01,-1.52E-11
1.10E-01,-1.44E-11
1.20E-01,-1.36E-11
1.30E-01,-1.29E-11
1.40E-01,-1.22E-11
1.50E-01,-1.16E-11
1.60E-01,-1.09E-11
1.70E-01,-1.03E-11
1.80E-01,-9.72E-12
1.90E-01,-9.13E-12
2.00E-01,-8.57E-12
2.10E-01,-8.02E-12
2.20E-01,-7.49E-12
2.30E-01,-6.98E-12
2.40E-01,-6.49E-12
2.50E-01,-6.01E-12
2.60E-01,-5.55E-12
2.70E-01,-5.10E-12
2.80E-01,-4.66E-12
2.90E-01,-4.23E-12
3.00E-01,-3.82E-12
3.10E-01,-3.41E-12
3.20E-01,-3.01E-12
3.30E-01,-2.62E-12
3.40E-01,-2.24E-12
3.50E-01,-1.87E-12
3.60E-01,-1.50E-12
3.70E-01,-1.13E-12
3.80E-01,-7.67E-13
3.90E-01,-4.05E-13
4.00E-01,-4.45E-14
4.10E-01,3.17E-13
4.20E-01,6.80E-13
4.30E-01,1.05E-12
4.40E-01,1.41E-12
4.50E-01,1.78E-12
4.60E-01,2.15E-12
4.70E-01,2.50E-12
4.80E-01,2.82E-12
4.90E-01,3.07E-12
5.00E-01,3.23E-12
5.10E-01,3.24E-12
5.20E-01,3.10E-12
5.30E-01,2.82E-12
5.40E-01,2.45E-12
5.50E-01,2.06E-12
5.60E-01,1.70E-12
5.70E-01,1.40E-12
5.80E-01,1.16E-12
5.90E-01,9.84E-13
6.00E-01,8.59E-13
6.10E-01,7.73E-13
6.20E-01,7.17E-13
6.30E-01,6.81E-13
6.40E-01,6.61E-13
6.50E-01,6.52E-13
6.60E-01,6.50E-13
6.70E-01,6.53E-13
6.80E-01,6.59E-13
6.90E-01,6.69E-13
7.00E-01,6.79E-13
7.10E-01,6.91E-13
7.20E-01,7.03E-13
7.30E-01,7.16E-13
7.40E-01,7.29E-13
7.50E-01,7.42E-13
7.60E-01,7.54E-13
7.70E-01,7.67E-13
7.80E-01,7.79E-13
7.90E-01,7.92E-13
8.00E-01,8.04E-13
8.10E-01,8.16E-13
8.20E-01,8.27E-13
8.30E-01,8.38E-13
8.40E-01,8.49E-13
8.50E-01,8.58E-13
8.60E-01,8.67E-13
8.70E-01,8.77E-13
8.80E-01,8.86E-13
8.90E-01,8.95E-13
9.00E-01,9.05E-13
9.10E-01,9.14E-13
9.20E-01,9.24E-13
9.30E-01,9.34E-13
9.40E-01,9.44E-13
9.50E-01,9.55E-13
9.60E-01,9.65E-13
9.70E-01,9.76E-13
9.80E-01,9.87E-13
9.90E-01,9.98E-13
1.00E+00,1.01E-12
