vin,Id(M1)
0.00E+00,-1.01E-12
1.00E-02,-9.76E-13
2.00E-02,-9.46E-13
3.00E-02,-9.20E-13
4.00E-02,-8.98E-13
5.00E-02,-8.79E-13
6.00E-02,-8.63E-13
7.00E-02,-8.50E-13
8.00E-02,-8.40E-13
9.00E-02,-8.33E-13
1.00E-01,-8.28E-13
1.10E-01,-8.26E-13
1.20E-01,-8.25E-13
1.30E-01,-8.27E-13
1.40E-01,-8.30E-13
1.50E-01,-8.33E-13
1.60E-01,-8.31E-13
1.70E-01,-8.12E-13
1.80E-01,-7.82E-13
1.90E-01,-7.46E-13
2.00E-01,-7.06E-13
2.10E-01,-6.62E-13
2.20E-01,-6.15E-13
2.30E-01,-5.62E-13
2.40E-01,-5.06E-13
2.50E-01,-4.45E-13
2.60E-01,-3.79E-13
2.70E-01,-3.08E-13
2.80E-01,-2.32E-13
2.90E-01,-1.50E-13
3.00E-01,-6.31E-14
3.10E-01,3.01E-14
3.20E-01,1.30E-13
3.30E-01,2.35E-13
3.40E-01,3.48E-13
3.50E-01,4.68E-13
3.60E-01,5.96E-13
3.70E-01,7.32E-13
3.80E-01,8.77E-13
3.90E-01,1.03E-12
4.00E-01,1.19E-12
4.10E-01,1.37E-12
4.20E-01,1.55E-12
4.30E-01,1.75E-12
4.40E-01,1.96E-12
4.50E-01,2.18E-12
4.60E-01,2.40E-12
4.70E-01,2.62E-12
4.80E-01,2.81E-12
4.90E-01,2.94E-12
5.00E-01,2.99E-12
5.10E-01,2.90E-12
5.20E-01,2.66E-12
5.30E-01,2.30E-12
5.40E-01,1.85E-12
5.50E-01,1.39E-12
5.60E-01,9.62E-13
5.70E-01,6.00E-13
5.80E-01,3.08E-13
5.90E-01,8.23E-14
6.00E-01,-8.98E-14
6.10E-01,-2.20E-13
6.20E-01,-3.19E-13
6.30E-01,-3.95E-13
6.40E-01,-4.54E-13
6.50E-01,-5.01E-13
6.60E-01,-5.39E-13
6.70E-01,-5.70E-13
6.80E-01,-5.98E-13
6.90E-01,-6.21E-13
7.00E-01,-6.42E-13
7.10E-01,-6.62E-13
7.20E-01,-6.79E-13
7.30E-01,-6.96E-13
7.40E-01,-7.11E-13
7.50E-01,-7.26E-13
7.60E-01,-7.40E-13
7.70E-01,-7.54E-13
7.80E-01,-7.67E-13
7.90E-01,-7.80E-13
8.00E-01,-7.93E-13
8.10E-01,-8.05E-13
8.20E-01,-8.17E-13
8.30E-01,-8.28E-13
8.40E-01,-8.39E-13
8.50E-01,-8.48E-13
8.60E-01,-8.57E-13
8.70E-01,-8.66E-13
8.80E-01,-8.76E-13
8.90E-01,-8.85E-13
9.00E-01,-8.95E-13
9.10E-01,-9.04E-13
9.20E-01,-9.14E-13
9.30E-01,-9.24E-13
9.40E-01,-9.34E-13
9.50E-01,-9.45E-13
9.60E-01,-9.55E-13
9.70E-01,-9.66E-13
9.80E-01,-9.77E-13
9.90E-01,-9.88E-13
1.00E+00,-1.00E-12
