vin,Id(M1)
1.00E+00,2.52E-10
9.90E-01,2.41E-10
9.80E-01,2.30E-10
9.70E-01,2.19E-10
9.60E-01,2.09E-10
9.50E-01,2.00E-10
9.40E-01,1.90E-10
9.30E-01,1.81E-10
9.20E-01,1.73E-10
9.10E-01,1.64E-10
9.00E-01,1.56E-10
8.90E-01,1.49E-10
8.80E-01,1.41E-10
8.70E-01,1.34E-10
8.60E-01,1.28E-10
8.50E-01,1.21E-10
8.40E-01,1.15E-10
8.30E-01,1.09E-10
8.20E-01,1.03E-10
8.10E-01,9.74E-11
8.00E-01,9.21E-11
7.90E-01,8.70E-11
7.80E-01,8.21E-11
7.70E-01,7.74E-11
7.60E-01,7.30E-11
7.50E-01,6.87E-11
7.40E-01,6.46E-11
7.30E-01,6.07E-11
7.20E-01,5.69E-11
7.10E-01,5.33E-11
7.00E-01,4.99E-11
6.90E-01,4.67E-11
6.80E-01,4.36E-11
6.70E-01,4.06E-11
6.60E-01,3.78E-11
6.50E-01,3.51E-11
6.40E-01,3.25E-11
6.30E-01,3.00E-11
6.20E-01,2.77E-11
6.10E-01,2.54E-11
6.00E-01,2.32E-11
5.90E-01,2.11E-11
5.80E-01,1.90E-11
5.70E-01,1.70E-11
5.60E-01,1.50E-11
5.50E-01,1.30E-11
5.40E-01,1.11E-11
5.30E-01,9.27E-12
5.20E-01,7.66E-12
5.10E-01,6.28E-12
5.00E-01,5.17E-12
4.90E-01,4.29E-12
4.80E-01,3.62E-12
4.70E-01,3.09E-12
4.60E-01,2.67E-12
4.50E-01,2.33E-12
4.40E-01,2.04E-12
4.30E-01,1.80E-12
4.20E-01,1.58E-12
4.10E-01,1.38E-12
4.00E-01,1.20E-12
3.90E-01,1.03E-12
3.80E-01,8.77E-13
3.70E-01,7.32E-13
3.60E-01,5.95E-13
3.50E-01,4.68E-13
3.40E-01,3.48E-13
3.30E-01,2.35E-13
3.20E-01,1.29E-13
3.10E-01,2.96E-14
3.00E-01,-6.34E-14
2.90E-01,-1.51E-13
2.80E-01,-2.32E-13
2.70E-01,-3.08E-13
2.60E-01,-3.79E-13
2.50E-01,-4.45E-13
2.40E-01,-5.06E-13
2.30E-01,-5.62E-13
2.20E-01,-6.15E-13
2.10E-01,-6.63E-13
2.00E-01,-7.06E-13
1.90E-01,-7.46E-13
1.80E-01,-7.82E-13
1.70E-01,-8.12E-13
1.60E-01,-8.31E-13
1.50E-01,-8.33E-13
1.40E-01,-8.30E-13
1.30E-01,-8.27E-13
1.20E-01,-8.25E-13
1.10E-01,-8.26E-13
1.00E-01,-8.28E-13
9.00E-02,-8.33E-13
8.00E-02,-8.40E-13
7.00E-02,-8.50E-13
6.00E-02,-8.63E-13
5.00E-02,-8.79E-13
4.00E-02,-8.98E-13
3.00E-02,-9.20E-13
2.00E-02,-9.46E-13
1.00E-02,-9.76E-13
0.00E+00,-1.01E-12
